WAW	465.0	105	normal	GOT
TLV	1977.0	286	normal	TAS
EVN	532.0	94	normal	VOG
FRA	106.0	31	normal	PAD
ARN	2327.0	328	normal	FUE
CGN	483.0	96	normal	BTS
DRS	380.0	74	normal	AMS
MAD	4817.0	648	normal	UIO
TRN	80.0	33	lowcost	MXP
RHO	157.0	42	normal	HER
MAD	1858.0	266	normal	SVO
FAO	1725.0	247	lowcost	ARN
BRU	3136.0	446	normal	YUL
CMN	1827.0	254	normal	ABJ
STN	682.0	115	lowcost	BZG
SUF	344.0	98	lowcost	FCO
ZRH	1213.0	193	normal	AYT
BRS	732.0	117	lowcost	MAD
AGA	1461.0	202	normal	LUX
SZZ	448.0	81	lowcost	SVG
MAD	1101.0	179	lowcost	WRO
OSL	615.0	105	normal	DUS
ATH	988.0	142	normal	EVN
CMN	971.0	144	normal	LYS
BHX	964.0	156	lowcost	SVQ
DXB	2532.0	336	normal	VCE
FUE	32.0	24	lowcost	ACE
OPO	510.0	91	normal	CMN
SNN	91.0	77	lowcost	SNN
DJE	785.0	130	normal	LYS
ARN	4571.0	570	lowcost	CMB
GLA	3647.0	540	normal	MCO
CTA	997.0	156	lowcost	DUS
CDG	3444.0	480	normal	IAD
AMS	276.0	83	lowcost	EMA
TLV	1165.0	190	normal	KBP
NAP	1167.0	195	normal	DUB
SID	1576.0	232	lowcost	AGP
BEG	187.0	68	normal	SOF
GOT	582.0	98	lowcost	STN
CDG	250.0	58	lowcost	DUS
FUE	1399.0	205	lowcost	LYS
CMN	1938.0	261	normal	ARN
CMB	4881.0	664	normal	LHR
LUX	303.0	60	normal	LIN
IVL	1437.0	214	lowcost	ORY
DUB	841.0	151	lowcost	BCN
LHR	5987.0	757	normal	KUL
TLV	4679.0	548	normal	SZX
PMI	514.0	90	lowcost	CIA
SOU	280.0	60	normal	AMS
TOS	155.0	51	lowcost	KRN
KEF	4802.0	586	normal	BOM
BRS	636.0	109	normal	BGO
INN	657.0	106	lowcost	BRS
CAG	610.0	116	lowcost	MAD
